Name,Weight
路遥,5
蒙蒙,14
冰溜子,6
呼唤,16
平添,9
空旷,7
蓝布,5
郝红梅,137
孙少平,647
老祖母,24
祖母,22
顾养民,206
时髦,15
金波,332
白晰,5
麻利,16
老虎,20
富翁,10
田福堂,803
古老,16
柯察金,6
莫测,5
双水村,850
蓝莹莹,6
高粱米,6
卓娅,5
侯玉英,117
红岩,9
言明,5
那本书,11
老太婆,6
明白,196
红梅,170
黄风,5
柳树,11
花蕾,5
向阳,9
友谊,25
衣薄裳,8
吉普车,21
门第,9
但润叶,19
叶姐,112
拉家常,12
田二,123
耿直,11
小山,19
柳枝,6
叶姐正,5
和润叶,107
大礼堂,5
花白,7
张罗,16
徐大夫,7
晓霞,455
和润生,22
田晓霞,138
听润生,1
真是太,6
连笑带,5
和善,9
孙玉厚,338
和晓霞,73
金俊海,78
和少平,75
老远,7
塞进,15
叶姐塞,5
宁静,17
小河,31
兰花,197
小桥,52
兰香,282
金秀,129
森森,5
信天游,51
兰香刚,6
言传,38
王八蛋,7
柴禾,30
王满银,216
红旗,16
小姨子,6
红旗招展,5
黄尘,7
张春桥,5
盖子,6
母老虎,16
今天上午,12
老祖,6
胡宗南,7
武斗,14
白白,16
熊熊,14
温顺,5
孙少安,596
皮鞭,6
牛家沟,26
花椒树,7
寻思,13
黑森森,8
麻木,13
老汉,353
米家镇,107
罗盘,6
小东西,8
齐全,7
玉厚,90
孙女,18
白军,6
玉亭,448
孙子,46
老太太,90
子孙,21
老祖宗,8
和兰香,30
暴风雨,11
小坡,7
孙玉亭,447
娶媳妇,28
金波家,2
龙王庙,6
翠绿色,5
黄绿,8
玉皇大帝,11
爱恋,9
光耀,5
柏树,9
绿森森,5
金家湾,187
金俊武,449
金光亮,183
胡人,5
朽葛针,5
孔大,8
贺凤英,90
祖传,7
但少安,26
老嫂,9
玉亭才,6
从军,5
柳林镇,27
柳林,24
老陶,15
陶兄,9
封信,21
小兄弟,5
光宗耀祖,5
平气静,14
和玉亭,6
凤英,29
金俊山,269
徐治功,242
杨高虎,44
巴结,26
和治功,2
高虎,31
和凤英,5
今天下午,18
通顺,9
光荣,38
和田福堂,23
曲里拐弯,6
高中毕业,45
金芳,6
殷实,11
孔新,7
黑狗,7
福堂,107
老家伙,13
福堂哥,22
智慧,15
张东望,5
张得象,6
铁姑娘,5
红绿,11
凤英忙,5
布满,10
徐国强,145
徐叔,23
田福军,621
白修,9
冯世宽,177
田福顺,6
玉亭端,5
玉亭刚,6
安静,20
庄前庄,5
张狂,11
戴破,5
西瞅,5
小便,7
白痴,19
红布,25
老憨汉,15
高虎正,5
索索地,13
毛驴,6
田万江,31
俊山叔,5
高鼻梁,5
红光,10
小锤,5
师傅,163
小铁锤,5
老师傅,17
柴烂草,7
老先生,54
金家兄弟,14
金俊文,170
和金强,41
俊武,8
金俊斌,67
大家庭,15
周旋,9
田两族,9
和少安,82
听俊武,5
毛巾,52
山叔,5
刘根民,90
张开,16
金黄,27
满树,5
麻又辣,6
宝贝,12
宝贵,21
小绳,5
荣耀,38
黑亮亮,5
麻缠,6
伏后仰,9
通知书,7
原谅,21
松宽,8
平正,8
田润叶,58
红小兵,5
黄衣服,5
马刀,5
红缨枪,5
齐备,11
白水,5
红颜色,8
谢谢,18
江青,6
过少安,12
高挺,5
寒冬腊月,5
荣华富贵,5
朴素,13
徐大爷,13
徐爱云,40
福军,111
和爱云,24
岳父,17
小红花,9
玉米,31
问爱云,5
爱云,99
胡子,9
福相,9
晓晨,26
李登云,199
徐老,35
祝寿,9
和登云,13
赛诗,5
阳光,80
钮扣,20
张大,7
陈设,6
师范,11
和田福军,14
光光亮亮,5
小石子,11
阴雨天,5
西红柿,7
冬小麦,6
田福高,90
白净,9
原西河,61
小山湾,15
红艳艳,22
燕子,22
立春,9
水上漂,7
马兰花,13
格莹莹,6
那小子,26
胡闹,15
田二哩,5
白明川,125
明川叔,5
听明川,5
明川,36
闻一闻,7
高家湾,6
高廷亮,5
严格执行,5
敬礼,5
黑回绒,7
权威,22
和俊山,20
从少安,7
向少安,8
段子,5
兰花花,6
苗子,6
高潮,17
刘少奇,5
林彪,5
小山村,6
红卫兵,7
宣言,5
孔孟之道,5
毛泽东思想,6
顾忌,6
和红梅,22
哥少安,6
格子布,5
金波妈,7
高中生,22
金银财宝,7
太师椅,5
毕了业,5
田润生,66
高攀,9
夏收,8
麦穗,6
麦子,25
老中医,17
过金波,8
和金波,19
立眉,5
高来顺,5
小树林,11
杨树,12
张嘴,7
查明,5
金波曾,6
金波心,5
王法,10
宣传部,10
张红苗,15
和田晓霞,47
蓝卡,5
贾冰,73
贾老师,28
赫赫有名,11
安妈,6
少安妈,30
候少安,5
灵敏,7
张望,21
盛夏,8
刘阿姨,10
阿姨,10
寒霜,5
文武双全,5
志英,21
刘志英,42
齐后,5
明光,6
明白人,7
殷勤,16
福从天,5
黄原开,7
金秀来,7
金秀家,1
完兰香,5
阎王,11
托少平,6
了润叶,4
马勺,6
柳树下,6
田万有,26
万有叔,5
许配给,5
孔新窑,5
胡骚情,5
祖宗,11
玉米秆,5
徐大叔,5
老营,5
满怀,12
那润叶,6
和福军,33
顾老,7
白发红颜,5
庄河,6
妙棋,6
明朗,6
比少安,1
小女儿,22
都还没,7
余光,6
但少平,25
兰香先,6
言语,19
满圆,6
光辉,50
洪水,102
白杨树,7
杨树皮,5
老老少少,9
汤清,7
玉厚问,6
支棱,5
上少安,7
段时间,20
艾思奇,5
马丁,5
列宁,8
克鲁普,5
斯卡娅,5
全校师生,6
忆苦思甜,6
白开水,9
爱少,5
比金波,5
叶子,10
辛勤,7
戴顶,5
比少平,6
乐天派,6
柳圈,5
神祈雨,5
龙王,9
玉皇,6
盛水,5
井子,5
水霸,5
连川,1
老天爷,33
龙王爷,5
田五,50
路太远,6
周密,9
张开嘴巴,13
周全,7
福高,7
田海民,122
了福堂,6
连金波,5
连一星,5
向坝,5
但金富,15
金强,107
绿茵茵,7
盛满,5
和田海民,34
冬闲,7
刁钻,5
马达声,5
俊斌,77
王彩娥,99
盖满,5
寻人,5
寻俊斌,5
米家川,5
小儿子,23
但俊武,6
太久,7
温开水,5
过福堂,6
子孙后代,7
玉亭叔,11
但俊斌,6
申请书,12
顾大局,5
云彩,18
甘霖,5
由金波,5
雷声,9
沙尘,5
严肃处理,6
黑眉,5
贺秀莲,32
贺家湾,6
贺耀宗,33
贺家通,5
秀英,22
常有林,17
和秀莲,56
完秀莲,5
山洪,7
连荚,5
白露刚,5
黄叶,8
晁盖,7
宋江,5
招安,5
高小里,5
金光明,78
顾上,5
哈欠,9
向俊海,5
玉厚哥,9
和秀,6
但俊海,5
寒暄,5
孙大哥,14
糜子,12
孙媳妇,11
白发,9
那也好,7
太仓促,5
向庙坪,7
塞满,7
连爱,5
张桂兰,30
干妹子,8
和俊武,21
顾客,17
但秀莲,9
问秀莲,5
向南飞,6
山万岭,6
任凭,9
黄铜,5
封盖,6
山改河,5
巨龙,6
愚公,5
老祖先,5
张有智,201
周文龙,100
大力支持,11
刘志祥,51
志祥,14
贾家沟,9
黑青,6
子加,5
刘坪,5
包文正,5
大老爷,6
黑卡,5
太上皇,5
暴君,5
严重性,7
邓小平,7
保皇派,5
采取措施,5
顾先生,24
柳岔,1
西风,6
胡麻,5
西凤,5
马国雄,60
言辞,7
但登云,14
占上风,5
周总理,9
大小便,5
元宝,5
边那孔,1
少安正,5
生辉,5
罗得象,5
小石桥,5
花二毛,5
胡得禄,30
